Prescricao,Quantidade
Omeprazole 20mg gastro-resistant capsules,2597442
Atorvastatin 20mg tablets,2229284
Amlodipine 5mg tablets,1697019
Lansoprazole 30mg gastro-resistant capsules,1581556
Aspirin 75mg dispersible tablets,1268402
Atorvastatin 40mg tablets,1256401
Paracetamol 500mg tablets,1165032
Metformin 500mg tablets,1162946
Amlodipine 10mg tablets,1116465
Lansoprazole 15mg gastro-resistant capsules,984096
Levothyroxine sodium 100microgram tablets,963957
Sertraline 50mg tablets,955361
Salbutamol 100micrograms/dose inhaler CFC free,940125
Clopidogrel 75mg tablets,896368
Bisoprolol 2.5mg tablets,858139
Amitriptyline 10mg tablets,842068
Levothyroxine sodium 50microgram tablets,841435
Ramipril 10mg capsules,830363
Levothyroxine sodium 25microgram tablets,819145
Sertraline 100mg tablets,816305
Folic acid 5mg tablets,721509
Simvastatin 40mg tablets,694766
Tamsulosin 400microgram modified-release capsules,665820
Ramipril 2.5mg capsules,664239
Citalopram 20mg tablets,662729
Ramipril 5mg capsules,639655
Atorvastatin 80mg tablets,636787
Furosemide 40mg tablets,574021
Bisoprolol 1.25mg tablets,547401
Fluoxetine 20mg capsules,545701
Bendroflumethiazide 2.5mg tablets,544455
Atorvastatin 10mg tablets,542242
Simvastatin 20mg tablets,534650
Bisoprolol 5mg tablets,485158
Apixaban 5mg tablets,472949
Co-codamol 30mg/500mg tablets,426637
Alendronic acid 70mg tablets,422386
Ventolin 100micrograms/dose Evohaler,411583
Tramadol 50mg capsules,392934
Naproxen 500mg tablets,385565
Amoxicillin 500mg capsules,376334
Prednisolone 5mg tablets,363519
Mirtazapine 15mg tablets,354756
Gabapentin 300mg capsules,352962
Losartan 100mg tablets,351751
Fostair 100micrograms/dose / 6micrograms/dose inhaler,350333
Furosemide 20mg tablets,348374
Losartan 50mg tablets,339131
Citalopram 10mg tablets,333542
Finasteride 5mg tablets,331663
Zapain 30mg/500mg tablets,330509
Gliclazide 80mg tablets,329850
Allopurinol 100mg tablets,327791
Ferrous fumarate 210mg tablets,320891
Senna 7.5mg tablets,320145
Fexofenadine 180mg tablets,317906
Indapamide 2.5mg tablets,311515
Cetirizine 10mg tablets,311199
Montelukast 10mg tablets,297103
Mirtazapine 30mg tablets,290489
Ramipril 1.25mg capsules,280450
Nitrofurantoin 100mg modified-release capsules,278057
Mirtazapine 45mg tablets,272665
Flucloxacillin 500mg capsules,272374
Doxazosin 4mg tablets,267169
Codeine 30mg tablets,263176
Ferrous sulfate 200mg tablets,259444
Adcal-D3 chewable tablets tutti frutti,258630
Rivaroxaban 20mg tablets,257796
Doxycycline 100mg capsules,256631
Propranolol 40mg tablets,254559
Amitriptyline 25mg tablets,249046
Aspirin 75mg gastro-resistant tablets,240557
Clenil Modulite 100micrograms/dose inhaler,239405
Thiamine 100mg tablets,239287
Carbocisteine 375mg capsules,236671
Lisinopril 20mg tablets,230388
Fexofenadine 120mg tablets,228251
Salamol 100micrograms/dose inhaler CFC free (Teva),226766
Hydroxocobalamin 1mg/1ml solution for injection ampoules,226027
Metformin 500mg modified-release tablets,222998
Mometasone 50micrograms/dose nasal spray,220931
Dapagliflozin 10mg tablets,220155
Atenolol 50mg tablets,219244
Laxido Orange oral powder sachets sugar free,217819
Zopiclone 7.5mg tablets,217615
Apixaban 2.5mg tablets,217131
Linagliptin 5mg tablets,210994
Allopurinol 300mg tablets,207847
Lisinopril 10mg tablets,205055
Lactulose 3.1-3.7g/5ml oral solution,204077
Spironolactone 25mg tablets,199440
Desogestrel 75microgram tablets,194737
Diazepam 2mg tablets,193412
Bisoprolol 10mg tablets,193149
Ezetimibe 10mg tablets,192727
Losartan 25mg tablets,191707
Adcal-D3 750mg/200unit caplets,191041
Sukkarto SR 500mg tablets,187002
Candesartan 8mg tablets,186294
