YEAR_MONTH,PRACTICE_NAME
202206,"DR PUZEY,DR KOTHARI AND DR NANDA"
202206,ISLE OF WIGHT NHS TRUST NMP
202206,URGENT TREATMENT CENTRE/MINOR INJURIES
202206,FRIMLEY - COMMUNITY DERMATOLOGY SERVICE
202206,BASSET LAW DERMATOLOGY SERVICE
202206,NORTH ROAD WEST MED.CTR.
202206,THE APPLES MEDICAL CENTRE
202206,BROADWAY SURGERY
202206,OUSE VALLEY PRACTICE
202206,SCT CRAWLEY
202206,AXBRIDGE SURGERY
202206,THE NEW SPRINGWELLS PRACTICE
202206,RIVERSIDE MEDICAL CENTRE
202206,LCH CITY-WIDE SERVICES
202206,FRITHWOOD SURGERY
202206,DEVON ROAD SURGERY
202206,PSYCHIATRY UK-KENT
202206,BURNGREAVE SURGERY
202206,HANDSWORTH MEDICAL PRACTICE
202206,CHISLEHURST MEDICAL PRACTICE
202206,YOUR HEALTHCARE NON MED PRES
202206,LITTLEBOROUGH GROUP PRACTICE
202206,PRINCESS ROAD SURGERY
202206,TAVERHAM SURGERY
202206,WESTBOURNE GROVE MEDICAL CENTRE
202206,THE AITUNE MEDICAL PRACTICE
202206,THE ST.CLEMENTS SURGERY
202206,SALISBURY HOUSE SURGERY
202206,THEALE MEDICAL CENTRE
202206,CARNON DOWNS SURGERY
202206,BURGESS ROAD SURGERY
202206,MIDWAY SURGERY
202206,NEWTON DRIVE HEALTH CENTRE
202206,DR ENHANCED CARE HOME SUPORT
202206,DR M ASLAM'S PRACTICE
202206,BUCKSHAW HOSPITAL
202206,TOGETHER DRUG & ALCOHOL SERVICE - NORTH
202206,ARDEN MH ACUTE TEAM
202206,DR RAHIL'S SURGERY
202206,MOORE STREET MEDICAL CENTRE
202206,ST HELENS ASST & HTT
202206,FURNACE GREEN SURGERY
202206,THE HEATH SURGERY
202206,THE MEDICAL CENTRE
202206,SOHO ROAD PRIMARY CARE CENTRE
202206,RUSHALL MEDICAL CENTRE
202206,ANCHOR MEDICAL PRACTICE
202206,SWANSCOMBE HEALTH CENTRE
202206,WINDSOR MEDICAL CENTRE
202206,WELLFIELD MEDICAL CENTRE
202206,DORKING HEALTHCARE LLP
202206,LITCHAM HEALTH CENTRE
202206,ST JAMES MEDICAL PRACTICE
202206,THE EASTERN AVENUE MEDICAL CENTRE
202206,DR VM PATEL
202206,BERWICK SURGERY
202206,DR BK JAISWAL'S PRACTICE
202206,GROUND FLOOR LANARK MEDICAL CENTRE
202206,EARLS COURT SURGERY
202206,CHISWICK FAMILY PRACTICE
202206,THE MOIR MEDICAL CENTRE
202206,BUXTON MEDICAL PRACTICE
202206,RIVERSDALE SURGERY
202206,THE WESTBOURNE CENTRE
202206,ALRESFORD SURGERY
202206,WHITEACRES MEDICAL CENTRE
202206,FOREST PRACTICE
202206,ORCHARD 2000 GROUP
202206,NYVOCARENHS111 OOH
202206,PEEL GPS
202206,DEAL TREE HEALTH CENTRE
202206,ADDICTIONS SERVICE
202206,CGL WALTHAM FOREST
202206,DVT SERVICE
202206,DERMATOLOGY-MERTON CCG
202206,AVON CMHS
202206,IC24 LTD (HWLH OOH)
202206,VISTA ROAD SURGERY
202206,BROOKVALE PRACTICE
202206,BOSTON WEST HOSPITAL
202206,PALLIATIVE CARE
202206,GP STREAMING
202206,DARTMOUTH MEDICAL PRACTICE
202206,WYCLIFFE SURGERY
202206,THE BANKS & BEARWOOD MEDICAL CENTRE
202206,MOATFIELD SURGERY
202206,SAXONBROOK MEDICAL CENTRE
202206,KING'S MEDICAL PRACTICE
202206,HENRY MOORE CLINIC
202206,ROOLEY LANE MED. CENTRE
202206,ASHMORE PARK MEDICAL CENTRE
202206,AMBAR MEDICAL CENTRE
202206,STURRY SURGERY
202206,SANDWICH MEDICAL PRACTICE
202206,FIELDHEAD SURGERY
202206,FAIRFIELD PMS
202206,THE VILLAGE MEDICAL CTR.
202206,ORIENT ROAD MEDICAL PRACTICE
202206,THE DICCONSON GROUP PRACTICE
202206,CITY SQUARE MEDICAL GROUP
202206,JESSOP MEDICAL PRACTICE
202206,NEWHALL SURGERY
202206,ALVASTON MEDICAL CENTRE
202206,ST HILARY GROUP PRACTICE
202206,VITTORIA MED CTR G
202206,AUDLEM MEDICAL PRACTICE
202206,SANDRINGHAM MEDICAL CENTRE
202206,BANES BLADDER AND BOWEL TEAM
202206,ASPLANDS MEDICAL CENTRE
202206,STAFFORD MEDICAL GROUP
202206,PARKSIDE PRACTICE
202206,STOKENCHURCH MEDICAL CTRE
202206,PETROC GROUP PRACTICE
202206,AYLMER LODGE COOKLEY PARTNERSHIP
202206,EVEREST HOUSE SURGERY
202206,KNIGHTS SURGERY
202206,EAST & WEST BASILDON PCN ACCESS HUB
202206,THE VILLAGE GREEN SURGERY
202206,SFCCG CONTINENCE & STOMA SERVICE
202206,GTD HEALTHCARE CHORLEY OOH
202206,CPT WORTHING
202206,MANOR FIELD SURGERY
202206,SOTON COMMUNITY ENT ADELAIDE
202206,ROTHERHAM HOSPICE
202206,BARTON HOUSE MED PRACTICE
202206,STONE CROSS SURGERY
202206,MOORFIELD HOUSE SURGERY
202206,RILLWOOD MEDICAL CENTRE
202206,THE PARK PRACTICE
