Prescribers,Regiao_principal,Qtd_Regioes
VILLAGE SURGERY,SOUTH WEST,7
HIGH STREET SURGERY,SOUTH EAST,6
CENTRAL SURGERY,NORTH WEST,5
RIVERSIDE SURGERY,SOUTH EAST,5
TRINITY MEDICAL CENTRE,SOUTH EAST,5
BIRCHWOOD MEDICAL PRACTICE,SOUTH WEST,4
COMMUNITY DERMATOLOGY SERVICE,SOUTH WEST,4
COMMUNITY ENT SERVICE,NORTH WEST,4
HIGHFIELD SURGERY,SOUTH EAST,4
KINGSWAY SURGERY,NORTH WEST,4
ORCHARD SURGERY,SOUTH EAST,4
PARK LANE SURGERY,NORTH WEST,4
PARK MEDICAL CENTRE,NORTH WEST,4
THE VILLAGE SURGERY,SOUTH EAST,4
WOODLANDS SURGERY,SOUTH EAST,4
ABBEY MEDICAL CENTRE,SOUTH EAST,3
ADULT ADHD SERVICE,SOUTH EAST,3
ASHCROFT SURGERY,SOUTH EAST,3
BROADWAY MEDICAL CENTRE,NORTH WEST,3
CENTRAL MEDICAL CENTRE,MIDLANDS,3
CHURCH LANE SURGERY,NORTH EAST AND YORKSHIRE,3
CHURCH VIEW SURGERY,SOUTH WEST,3
COMMUNITY DIABETES SERVICE,NORTH WEST,3
GROVE HOUSE SURGERY,SOUTH WEST,3
GROVE MEDICAL CENTRE,SOUTH EAST,3
GROVE SURGERY,SOUTH WEST,3
HILLCREST SURGERY,SOUTH WEST,3
KINGSWOOD SURGERY,SOUTH WEST,3
LIME TREE SURGERY,SOUTH EAST,3
MANOR ROAD SURGERY,SOUTH EAST,3
OAKFIELD SURGERY,SOUTH EAST,3
ORCHARD MEDICAL PRACTICE,NORTH WEST,3
PALLIATIVE CARE SERVICE,NORTH WEST,3
PARK SURGERY,SOUTH EAST,3
PARK VIEW SURGERY,NORTH WEST,3
PARKSIDE MEDICAL CENTRE,MIDLANDS,3
PRIORY MEDICAL CENTRE,NORTH WEST,3
QUEENS ROAD SURGERY,NORTH EAST AND YORKSHIRE,3
RICHMOND MEDICAL CENTRE,NORTH WEST,3
SPRINGFIELD SURGERY,SOUTH EAST,3
ST ALBANS MEDICAL CENTRE,SOUTH WEST,3
ST ANDREWS MEDICAL CENTRE,SOUTH EAST,3
ST MARY'S SURGERY,SOUTH EAST,3
STATION ROAD SURGERY,SOUTH EAST,3
THE AVENUE SURGERY,SOUTH EAST,3
THE GRANGE MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,3
THE LIMES MEDICAL CENTRE,SOUTH EAST,3
THE NEW SURGERY,SOUTH EAST,3
THE SURGERY,NORTH WEST,3
THE VILLAGE MEDICAL CENTRE,SOUTH EAST,3
URGENT TREATMENT CENTRE,MIDLANDS,3
VICTORIA MEDICAL CENTRE,SOUTH EAST,3
VICTORIA ROAD SURGERY,SOUTH EAST,3
WHITE HOUSE SURGERY,SOUTH WEST,3
WOODLANDS MEDICAL PRACTICE,NORTH WEST,3
ABBEY ROAD SURGERY,NORTH WEST,2
ADELAIDE MEDICAL CENTRE,SOUTH EAST,2
ADELAIDE STREET SURGERY,SOUTH WEST,2
ADULT COMMUNITY NURSING,SOUTH EAST,2
ASHFIELD MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,2
ASHVILLE SURGERY,NORTH WEST,2
BALDWINS LANE SURGERY,MIDLANDS,2
BEECHWOOD MEDICAL CENTRE,NORTH EAST AND YORKSHIRE,2
BEECHWOOD SURGERY,NORTH WEST,2
BELGRAVE MEDICAL CENTRE,MIDLANDS,2
BELMONT MEDICAL CENTRE,MIDLANDS,2
