Prescribers,Novo
(FRACTURE CLINIC) NORTH OOH,Sim
(IRLAM) SALFORD CARE CTRS MEDICAL PRACTI,Sim
1 TO 1 CENTRE,Sim
1/MONTON MEDICAL PRACTICE,Sim
1/SALFORD MEDICAL PRACTICE,Sim
15 SEFTON ROAD,Sim
168 MEDICAL GROUP,Sim
19 BEAUMONT STREET SURGERY,Sim
240 WEXHAM ROAD,Sim
27@NORTHGATE,Sim
28@NORTHGATE,Sim
3/LOWER BROUGHTON MEDICAL PRACTICE,Sim
3/SPRINGFIELD HOUSE MEDICAL PRACTICE,Sim
301 EAST STREET SURGERY,Sim
3D MEDICAL CENTRE,Sim
3VH RHEUMATOLOGY,Sim
3W HEALTH,Sim
4 SEASONS MEDICAL CENTRE,Sim
42 KINGSWAY,Sim
49 MARINE AVENUE SURGERY,Sim
7 DAY ACCESS LITTLEBOROUGH HUB,Sim
7 DAY ACCESS MIDDLETON HC,Sim
7 DAY GP SERVICE,Sim
8 TO 8 TOP-UP HUB ERITH,Sim
8 TO 8 TOP-UP HUB QMH,Sim
A & E NON MEDICAL PRESCRIBERS,Sim
A&E GPS,Sim
ABBAMOOR SURGERY,Sim
ABBEY DALE MEDICAL CENTRE,Sim
ABBEY FIELD MEDICAL CENTRE,Sim
ABBEY GRANGE MEDICAL PRACTICE,Sim
ABBEY HOUSE MEDICAL PRACTICE,Sim
ABBEY MEADS MEDICAL PRACT,Sim
ABBEY MEDICAL CENTRE,Sim
ABBEY MEDICAL GROUP,Sim
ABBEY MEDICAL PRACTICE,Sim
ABBEY ROAD MEDICAL PRACTICE,Sim
ABBEY ROAD SURGERY,Sim
ABBEY SURGERY,Sim
ABBEY WOOD SURGERY,Sim
ABBEYSLADE PMS (DR CHAND),Sim
ABBEYVIEW SURGERY,Sim
ABBEYWELL SURGERY,Sim
ABBOTS BROMLEY SURGERY,Sim
ABBOTSWOOD MEDICAL CENTRE,Sim
ABBOTTSWOOD MEDICAL CENTRE,Sim
ABERCROMBY FAMILY PRACTICE,Sim
ABERFELDY PRACTICE,Sim
ABERNETHY HOUSE SURGERY,Sim
ABH MANCHESTER & TRAFFORD CDS,Sim
ABINGDON FAMILY HEALTH CARE CENTRE,Sim
ABINGTON MEDICAL CENTRE,Sim
ABINGTON PARK SURGERY,Sim
ABOUT HEALTH LTD,Sim
ABRIDGE SURGERY,Sim
ACCT 2,Sim
ACE LTD OOH,Sim
ACHE CLINIC,Sim
ACHIEVE BOLTON RECOVERY SERVICE,Sim
ACKLAM MEDICAL CENTRE,Sim
ACLE MEDICAL PARTNERSHIP,Sim
ACOCKS GREEN MEDICAL CENTRE,Sim
ACORN MEDICAL CENTRE,Sim
ACORN MEDICAL PRACTICE,Sim
ACORN PRACTICE,Sim
ACORN SURGERY,Sim
ACRE SURGERY,Sim
ACREFIELD SURGERY,Sim
ACTIVE RECOVERY (CICS),Sim
ACTON LANE MEDICAL CENTRE,Sim
ACTON TOWN MEDICAL CENTRE,Sim
ACUTE GP REFERRAL SERVICE,Sim
ACUTE MEDICAL UNIT (RBH),Sim
ACUTE MENTAL HEALTH,Sim
ADAM HOUSE MEDICAL CENTRE,Sim
ADDACTION WIGAN & LEIGH (LEIGH),Sim
ADDACTION WIGAN & LEIGH (WIGAN),Sim
ADDERLEY GREEN SURGERY,Sim
ADDICTIONS SERVICE,Sim
ADDINGHAM SURGERY,Sim
ADDINGTON MEDICAL CENTRE,Sim
ADDINGTON MEDICAL PRACTICE,Sim
ADDINGTON ROAD SURGERY,Sim
ADDISON HOUSE - HAQUE PRACTICE,Sim
ADDISON ROAD MEDICAL PRACTICE,Sim
ADEL BECK SCH,Sim
ADELAIDE MEDICAL CENTRE,Sim
ADELAIDE STREET SURGERY,Sim
ADHD SPECIALIST NURSING TEAM,Sim
ADLER JS-THE SURGERY,Sim
ADLINGTON MEDICAL CENTRE,Sim
ADSHALL ROAD MEDICAL PRAC,Sim
ADULT ADHD CLINIC,Sim
ADULT ADHD HALTON,Sim
ADULT ADHD KNOWSLEY,Sim
ADULT ADHD KNOWSLEY NMP,Sim
ADULT ADHD SERVICE,Sim
ADULT ADHD WIGAN,Sim
ADULT COMMUNITY NURSING,Sim
ADULT COMMUNITY SERVICES,Sim
ADULT DRUG & ALCOHOL SERVICE,Sim
ADULT MENTAL HEALTH COMMUNITY,Sim
ADULT MH COMMUNITY - LYMEBROOK,Sim
ADUR HEALTH PARTNERSHIP,Sim
ADUR MIAMI GP ACCESS HUB,Sim
AEGIS MEDICAL CENTRE,Sim
AELFGAR SURGERY,Sim
AILSA CRAIG MEDICAL CENTRE,Sim
AILSWORTH MEDICAL CENTRE,Sim
AINSDALE MEDICAL CENTRE,Sim
AINSDALE VILLAGE SURGERY,Sim
AINTREE PARK GROUP PRACTICE,Sim
AINTREE ROAD MEDICAL CENTRE,Sim
AIR BALLOON SURGERY,Sim
AIRE VALLEY SURGERY,Sim
AIREBOROUGH FAMILY PRACTICE,Sim
AKERMAN MEDICAL PRACTICE,Sim
AL FAL MEDICAL GROUP,Sim
AL-SHAFA MEDICAL CENTRE,Sim
AL-SHIFA MEDICAL CENTRE,Sim
AL-WAQAS MEDICAL CENTRE,Sim
ALBANY HOUSE MEDICAL CENTRE,Sim
ALBANY HOUSE SURGERY,Sim
ALBANY PRACTICE,Sim
ALBANY SURGERY,Sim
ALBERT ROAD SURGERY,Sim
ALBION HEALTH CENTRE,Sim
ALBION MEDICAL PRACTICE,Sim
ALBION PLACE MEDICAL PRACTICE,Sim
ALBION STREET GROUP PRACTICE,Sim
ALBION SURGERY,Sim
ALBRIGHTON MEDICAL PRACT,Sim
ALCESTER HEALTH CENTRE,Sim
ALCHESTER MEDICAL GROUP,Sim
ALCONBURY SURGERY,Sim
ALDBOROUGH SURGERY,Sim
ALDERLEY EDGE MEDICAL CENTRE,Sim
ALDERMOOR SURGERY,Sim
ALDERSBROOK MEDICAL CENTRE,Sim
ALDERWOOD MEDICAL PRACTICE,Sim
ALEX CENTRE UNREGISTERED WIC,Sim
ALEXANDER HOUSE SURGERY,Sim
ALEXANDRA & CRESTVIEW SURGERIES,Sim
ALEXANDRA GROUP MED PRACT,Sim
ALEXANDRA MEDICAL CENTRE,Sim
ALEXANDRA SURGERY,Sim
ALFRED SQUIRE ROAD SURGERY,Sim
ALL SAINTS MEDICAL CENTRE PMS,Sim
ALL SAINTS SURGERY,Sim
ALLERTON MEDICAL CENTRE,Sim
ALLESLEY PARK MEDICAL CTR,Sim
ALLESLEY VILLAGE SURGERY,Sim
ALLIANCE TEACHING PRACTICES,Sim
ALLPORT MEDICAL CENTRE,Sim
ALMA MEDICAL CENTRE,Sim
ALMA ROAD SURGERY,Sim
ALMOND ROAD SURGERY,Sim
ALMONDSBURY SURGERY,Sim
ALNWICK MEDICAL GROUP,Sim
ALPERTON MEDICAL CENTRE,Sim
ALPHA MEDICAL PRACTICE,Sim
ALPINE HOUSE SURGERY,Sim
ALRESFORD SURGERY,Sim
ALREWAS,Sim
ALSTON MEDICAL PRACTICE,Sim
ALTON STREET SURGERY,Sim
ALTON SURGERY,Sim
ALTRINCHAM MEDICAL PRACTICE,Sim
ALUM ROCK MEDICAL CENTRE,Sim
ALVANLEY FAMILY PRACTICE,Sim
ALVASTON MEDICAL CENTRE,Sim
ALVELEY MEDICAL PRACTICE,Sim
ALVERTHORPE,Sim
ALWOODLEY MEDICAL CENTRE,Sim
AMAANAH MEDICAL PRACTICE,Sim
AMBAR MEDICAL CENTRE,Sim
AMBER VALLEY HEALTH,Sim
AMBLESIDE HEALTH CENTRE,Sim
AMBROSE AVENUE GROUP PRACTICE,Sim
AMERSHAM HEALTH CENTRE,Sim
AMERSHAM VALE TRAINING PRACTICE,Sim
AMHERST MEDICAL PRACTICE,Sim
AMICUS HEALTH,Sim
AMMONITE HEALTH PARTNERSHIP,Sim
AMPLEFORTH SURGERY,Sim
AMPTHILL PRACTICE,Sim
