Prescriber,Substancia,Quantidade
(FRACTURE CLINIC) NORTH OOH,Nitrofurantoin,281
(IRLAM) SALFORD CARE CTRS MEDICAL PRACTI,Atorvastatin,330
(OUT PATIENT DEPARTMENT) NORTH OOH,Morphine sulfate,2
0-19 EAST CHESHIRE HEALTH VISITORS,Clotrimazole,1
0-19 PUBLIC HEALTH SERVICE HARTLEPOOL,Liquid paraffin,2
1 TO 1 CENTRE,Co-amoxiclav (Amoxicillin/clavulanic acid),1
1/MONTON MEDICAL PRACTICE,Atorvastatin,807
1/SALFORD MEDICAL PRACTICE,Atorvastatin,537
15 SEFTON ROAD,Atorvastatin,576
168 MEDICAL GROUP,Atorvastatin,1726
19 BEAUMONT STREET SURGERY,Atorvastatin,492
240 WEXHAM ROAD,Atorvastatin,627
27@NORTHGATE,Atorvastatin,205
28@NORTHGATE,Atorvastatin,210
3/LOWER BROUGHTON MEDICAL PRACTICE,Atorvastatin,1181
3/SPRINGFIELD HOUSE MEDICAL PRACTICE,Atorvastatin,1604
301 EAST STREET SURGERY,Atorvastatin,407
3D MEDICAL CENTRE,Atorvastatin,128
3VH RHEUMATOLOGY,Methotrexate,26
3W HEALTH,Atorvastatin,1800
4 SEASONS MEDICAL CENTRE,Atorvastatin,282
42 KINGSWAY,Atorvastatin,794
49 MARINE AVENUE SURGERY,Atorvastatin,588
7 DAY ACCESS LITTLEBOROUGH HUB,Phenoxymethylpenicillin (Penicillin V),5
7 DAY ACCESS MIDDLETON HC,Phenoxymethylpenicillin (Penicillin V),11
7 DAY ACCESS PHOENIX HUB,Phenoxymethylpenicillin (Penicillin V),4
7 DAY ACCESS ROCHDALE INFIRMARY HUB,Amitriptyline hydrochloride,1
7 DAY GP SERVICE,Amoxicillin,33
8 TO 8 TOP-UP HUB ERITH,Amoxicillin,69
8 TO 8 TOP-UP HUB QMH,Amoxicillin,13
A & E NON MEDICAL PRESCRIBERS,Co-amoxiclav (Amoxicillin/clavulanic acid),11
A&E GPS,Flucloxacillin sodium,5
ABBAMOOR SURGERY,Atorvastatin,152
ABBEY DALE MEDICAL CENTRE,Omeprazole,693
ABBEY FIELD MEDICAL CENTRE,Atorvastatin,1714
ABBEY GRANGE MEDICAL PRACTICE,Atorvastatin,605
ABBEY HOUSE MEDICAL PRACTICE,Atorvastatin,2101
ABBEY MEADS MEDICAL PRACT,Atorvastatin,1389
ABBEY MEDICAL CENTRE,Atorvastatin,2958
ABBEY MEDICAL GROUP,Atorvastatin,1416
ABBEY MEDICAL PRACTICE,Atorvastatin,4400
ABBEY ROAD MEDICAL PRACTICE,Atorvastatin,675
ABBEY ROAD SURGERY,Atorvastatin,1252
ABBEY SURGERY,Omeprazole,1778
ABBEY WOOD SURGERY,Atorvastatin,460
ABBEYSLADE PMS (DR CHAND),Atorvastatin,319
ABBEYVIEW SURGERY,Atorvastatin,1096
ABBEYWELL SURGERY,Ramipril,1267
ABBOTS BROMLEY SURGERY,Atorvastatin,453
ABBOTSWOOD MEDICAL CENTRE,Atorvastatin,253
ABBOTTSWOOD MEDICAL CENTRE,Atorvastatin,1204
ABERCROMBY FAMILY PRACTICE,Atorvastatin,448
ABERFELDY PRACTICE,Atorvastatin,572
ABERNETHY HOUSE SURGERY,Atorvastatin,973
ABH MANCHESTER & TRAFFORD CDS,Isotretinoin,307
ABINGDON FAMILY HEALTH CARE CENTRE,Atorvastatin,347
ABINGTON MEDICAL CENTRE,Atorvastatin,1386
ABINGTON PARK SURGERY,Atorvastatin,1673
ABOUT HEALTH LN DERMATOLOGY,Fluorouracil (Sunscreen),4
ABOUT HEALTH LTD,Emollients,168
ABRIDGE SURGERY,Influenza,1043
ACCIDENT AND EMERGENCY WWL,Co-amoxiclav (Amoxicillin/clavulanic acid),5
ACCT 2,Clindamycin hydrochloride,2
ACE LTD OOH,Methotrexate,176
ACHE CLINIC,Isotretinoin,44
ACHIEVE BOLTON RECOVERY SERVICE,Methadone hydrochloride,1717
ACKLAM MEDICAL CENTRE,Atorvastatin,1158
ACLE MEDICAL PARTNERSHIP,Atorvastatin,1162
ACMH-INTENSIVE HOME TREATMENT TEAM,Olanzapine,1
ACOCKS GREEN MEDICAL CENTRE,Influenza,547
ACORN MEDICAL CENTRE,Atorvastatin,334
ACORN MEDICAL PRACTICE,Atorvastatin,344
ACORN PRACTICE,Omeprazole,292
ACORN SURGERY,Atorvastatin,860
ACORNS CHILDREN'S HOSPICE,Clobazam,2
ACORNS CHILDRENS HOSPICE WALSALL,Clobazam,1
ACRE SURGERY,Atorvastatin,338
ACREFIELD SURGERY,Atorvastatin,154
ACTIVE RECOVERY (CICS),Skin Fillers And Protectives,25
ACTON LANE MEDICAL CENTRE,Atorvastatin,133
ACTON TOWN MEDICAL CENTRE,Atorvastatin,117
ACUTE ADULT MENTAL HEALTH (WEST),Methylphenidate hydrochloride,10
ACUTE GP REFERRAL SERVICE,Apixaban,2
ACUTE LIAISON PSYCHIATRY SERVICE (ALPS),Diazepam,1
ACUTE MEDICAL UNIT (RBH),Lansoprazole,2
ACUTE MEDICINE DIR.,Wound Management & Other Dressings,2
ACUTE MENTAL HEALTH,Methylphenidate hydrochloride,21
ADAM HOUSE MEDICAL CENTRE,Atorvastatin,488
ADDACTION WIGAN & LEIGH (LEIGH),Methadone hydrochloride,622
ADDACTION WIGAN & LEIGH (WIGAN),Methadone hydrochloride,883
ADDERLEY GREEN SURGERY,Atorvastatin,818
ADDICTIONS SERVICE,Methadone hydrochloride,1601
ADDINGHAM SURGERY,Atorvastatin,503
ADDINGTON MEDICAL CENTRE,Atorvastatin,382
ADDINGTON MEDICAL PRACTICE,Levothyroxine sodium,610
ADDINGTON ROAD SURGERY,Atorvastatin,456
ADDISON HOUSE - HAQUE PRACTICE,Atorvastatin,1277
ADDISON ROAD MEDICAL PRACTICE,Atorvastatin,639
ADEL BECK SCH,Promethazine hydrochloride,3
ADELAIDE MEDICAL CENTRE,Atorvastatin,1003
ADELAIDE STREET SURGERY,Atorvastatin,1869
ADHD CLINIC,Lisdexamfetamine dimesylate,13
ADHD SPECIALIST NURSING TEAM,Methylphenidate hydrochloride,312
ADLER JS-THE SURGERY,Atorvastatin,296
ADLINGTON MEDICAL CENTRE,Atorvastatin,635
ADSHALL ROAD MEDICAL PRAC,Atorvastatin,461
ADULT ADHD CHESHIRE PRIORY SERVICE,Atomoxetine hydrochloride,1
ADULT ADHD CLINIC,Lisdexamfetamine dimesylate,200
ADULT ADHD HALTON,Methylphenidate hydrochloride,72
ADULT ADHD KNOWSLEY,Methylphenidate hydrochloride,43
ADULT ADHD KNOWSLEY NMP,Lisdexamfetamine dimesylate,16
ADULT ADHD SERVICE,Methylphenidate hydrochloride,115
ADULT ADHD SERVICE NMP 1,Methylphenidate hydrochloride,16
ADULT ADHD WIGAN,Methylphenidate hydrochloride,157
ADULT COMMUNITY NURSING,Wound Management & Other Dressings,1158
ADULT COMMUNITY NURSING SERVICE,Wound Management & Other Dressings,3
ADULT COMMUNITY SERVICES,Amlodipine,1
ADULT DRUG & ALCOHOL SERVICE,Methadone hydrochloride,1302
ADULT LD COMM SERVICES NW,Methylphenidate hydrochloride,24
ADULT LEARNING DISABILITY SERVICE,Sertraline hydrochloride,4
ADULT MENTAL HEALTH COMMUNITY,Methylphenidate hydrochloride,67
ADULT MH COMMUNITY - LYMEBROOK,Methylphenidate hydrochloride,21
ADULT MH COMMUNITY - SUTHERLAND CENTRE,Quetiapine,37
ADUR HEALTH PARTNERSHIP,Atorvastatin,2049
ADUR MIAMI GP ACCESS HUB,Amitriptyline hydrochloride,1
AEGIS MEDICAL CENTRE,Atorvastatin,521
AELFGAR SURGERY,Atorvastatin,580
AGEING WELL,Co-dydramol (Dihydrocodeine/paracetamol),1
AH CLINICS,Medroxyprogesterone acetate,2
AILSA CRAIG MEDICAL CENTRE,Atorvastatin,655
AILSWORTH MEDICAL CENTRE,Atorvastatin,480
AINSDALE MEDICAL CENTRE,Atorvastatin,1140
AINSDALE VILLAGE SURGERY,Atorvastatin,443
AINTREE LOSS,Glucose blood testing reagents,1
AINTREE PARK GROUP PRACTICE,Atorvastatin,1669
AINTREE ROAD MEDICAL CENTRE,Atorvastatin,226
AIR BALLOON SURGERY,Atorvastatin,825
AIRE VALLEY SURGERY,Atorvastatin,829
AIREBOROUGH FAMILY PRACTICE,Atorvastatin,647
AKERMAN MEDICAL PRACTICE,Atorvastatin,300
AL FAL MEDICAL GROUP,Atorvastatin,499
AL-SHAFA MEDICAL CENTRE,Atorvastatin,703
AL-SHIFA MEDICAL CENTRE,Atorvastatin,229
AL-WAQAS MEDICAL CENTRE,Atorvastatin,546
ALBANY HOUSE MEDICAL CENTRE,Atorvastatin,1703
ALBANY HOUSE SURGERY,Atorvastatin,411
ALBANY PRACTICE,Atorvastatin,521
ALBANY SURGERY,Atorvastatin,775
ALBERT ROAD SURGERY,Atorvastatin,575
ALBION HEALTH CENTRE,Atorvastatin,796
ALBION MEDICAL PRACTICE,Atorvastatin,919
ALBION PLACE MEDICAL PRACTICE,Atorvastatin,818
ALBION STREET GROUP PRACTICE,Atorvastatin,729
ALBION SURGERY,Atorvastatin,559
ALBRIGHTON MEDICAL PRACT,Atorvastatin,889
ALCESTER HEALTH CENTRE,Atorvastatin,444
ALCHESTER MEDICAL GROUP,Atorvastatin,1343
ALCONBURY SURGERY,Omeprazole,1326
ALDBOROUGH SURGERY,Lansoprazole,351
ALDERLEY EDGE MEDICAL CENTRE,Atorvastatin,632
ALDERMOOR SURGERY,Omeprazole,435
ALDERSBROOK MEDICAL CENTRE,Atorvastatin,343
ALDERWOOD MEDICAL PRACTICE,Atorvastatin,648
ALDINE HOUSE SCH,Salicylic acid,2
ALEX CENTRE UNREGISTERED WIC,Omeprazole,8
ALEXANDER HOUSE SURGERY,Atorvastatin,700
ALEXANDRA & CRESTVIEW SURGERIES,Atorvastatin,1158
ALEXANDRA GROUP MED PRACT,Atorvastatin,653
ALEXANDRA MEDICAL CENTRE,Atorvastatin,228
ALEXANDRA SURGERY,Atorvastatin,274
