Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Abacavir and lamivudine,6.33,6.03,6.03,6.03
Absorbent Cottons,9.24,8.64,58.66,0.78
Acamprosate calcium,40.76,38.28,1340.65,0.26
Acarbose,34.02,31.91,287.56,3.19
Acebutolol hydrochloride,36.28,33.96,137.19,5.24
Aceclofenac,10.35,9.75,60.33,0.56
Acenocoumarol,6.91,6.51,51.89,0.33
Acetazolamide,12.15,11.47,6450.98,0.22
Acetic acid,8.12,7.61,69.19,3.83
Acetylcysteine,55.97,52.36,922.88,0.46
Aciclovir,8.85,8.34,668.78,0.1
Acipimox,49.65,46.52,108.0,13.58
Acitretin,59.15,55.38,642.78,1.01
Aclidinium bromide,107.17,100.19,2157.07,30.37
Aclidinium bromide/formoterol,116.78,109.17,1519.24,30.37
Acne Treatment,19.5,18.24,24.31,12.16
Acrivastine,26.3,24.62,167.57,2.36
Adalimumab,413.77,418.05,717.38,296.3
Adapalene,30.46,28.49,522.48,15.35
Adapalene and benzoyl peroxide,43.65,40.82,1278.48,18.25
Adefovir dipivoxil,252.22,235.72,235.72,235.72
Adhesive (Pastes/Sprays/Solutions),19.91,18.61,127.7,4.56
Adhesive Discs/Rings/Pads/Plasters,59.34,55.48,5444.16,0.39
Adhesive Dressing Remover Ster Silicone,34.08,31.86,538.36,0.51
Adhesive Removers (Sprays/Liquids/Wipes),33.37,31.2,4035.44,0.51
Adrenaline,137.79,128.8,2500.76,0.96
Agomelatine,40.72,38.14,303.66,3.11
Albendazole,139.09,130.0,433.77,18.19
Alclometasone dipropionate,29.51,27.59,135.8,16.98
Alcohol,2.86,2.72,21.88,0.66
Alendronic acid,353.26,330.4,6889.05,0.7
Alendronic acid/colecalciferol,43.16,40.35,170.56,3.98
Alfacalcidol,20.98,19.64,557.37,0.22
Alfentanil hydrochloride,18.06,16.92,177.79,1.3
Alfuzosin hydrochloride,26.68,25.07,537.95,0.13
Alginic acid compound preparations,18.96,17.78,943.99,0.05
Alimemazine tartrate,381.87,356.91,3356.51,12.02
Alirocumab,451.5,421.99,785.13,157.02
Aliskiren,54.49,50.95,213.18,3.92
Alitretinoin,538.6,503.36,922.82,461.41
Alkyl sulfate,3.32,3.11,9.69,2.43
Alkyl sulphate,10.39,9.72,163.21,5.31
Allopurinol,14.19,13.54,358.88,0.07
Almotriptan,37.31,34.89,793.15,7.48
Alogliptin,235.34,220.15,5993.84,0.89
Alogliptin/metformin,113.03,105.73,2039.44,3.22
Alprostadil,70.15,65.59,968.13,6.87
Aluminium and magnesium and activated simeticone,10.41,9.75,86.15,1.83
Aluminium and magnesium and oxetacaine,38.04,35.56,239.57,11.84
Aluminium chloride,6.28,5.88,60.15,2.35
Aluminium hydroxide,19.2,18.28,18.28,18.28
Alverine citrate,8.15,7.76,106.01,0.22
Alverine citrate/simeticone,14.59,13.67,41.17,2.51
Amantadine hydrochloride,37.68,35.32,1570.07,0.84
Ambrisentan,1618.08,1512.18,1512.18,1512.18
Amikacin,720.0,672.88,672.88,672.88
Amiloride hydrochloride,42.46,39.75,593.83,0.62
Amiloride hydrochloride with loop diuretics,111.73,104.47,639.26,3.92
Aminophylline,67.2,62.91,62.91,62.91
Aminophylline hydrate,4.0,3.86,15.82,0.67
Aminosalicylic acid,568.22,531.02,618.67,309.33
Amiodarone hydrochloride,5.13,4.89,558.87,0.17
Amisulpride,27.38,25.8,1173.73,0.22
Amitriptyline hydrochloride,15.39,14.69,1785.54,0.02
Amlodipine,42.44,40.73,1347.55,0.02
Amobarbital sodium,150.82,141.13,870.99,8.25
Amorolfine hydrochloride,19.71,18.45,206.16,6.86
Amoxicillin,14.64,13.8,566.21,0.16
Amoxicillin sodium,33.6,31.45,53.84,13.57
Amphotericin,672.1,628.11,1246.81,9.26
Ampicillin,150.37,140.55,750.04,44.83
Amylmetacresol,3.71,3.51,10.85,1.12
Anagrelide hydrochloride,413.47,386.52,847.03,158.8
Anal Irrigation System,211.93,198.06,3930.69,2.68
Anal Plugs,98.01,91.6,691.09,2.16
Analgesics with anti-emetics,9.87,9.26,122.8,0.63
Anastrozole,10.36,9.78,1601.8,0.15
Antazoline,4.63,4.34,50.12,3.13
Apixaban,800.79,749.12,26108.26,0.89
Apomorphine hydrochloride,715.08,671.38,3826.19,13.78
Apomorphine hydrochloride hemihydrate,766.23,716.1,6504.51,114.95
Apraclonidine,57.15,53.43,1018.58,6.18
Apremilast,1158.93,1083.13,3084.01,275.47
Aprepitant,238.13,222.56,827.19,29.55
Arachis oil,171.55,160.34,681.14,3.0
Aripiprazole,61.15,57.31,2060.07,0.17
Arm Sling/Bandages,45.38,42.42,3063.07,0.1
Arnica montana,9.29,8.7,31.88,3.88
Artemether with lumefantrine,16.25,15.23,21.04,3.62
Artificial saliva,5.64,5.29,28.43,2.77
Ascorbic acid,79.44,74.45,1152.63,0.38
Asenapine,93.88,87.82,191.79,15.98
Aspirin,21.57,20.94,947.89,0.01
Aspirin and caffeine,18.8,17.59,17.59,17.59
Aspirin combined preparations,5.99,5.65,15.34,0.37
Atenolol,10.97,10.46,297.88,0.07
Atenolol with calcium channel blocker,20.83,19.54,29.05,3.69
Atomoxetine hydrochloride,33.17,31.05,635.54,0.59
Atorvastatin,52.5,50.28,4720.56,0.02
Atovaquone,687.26,642.29,1818.16,454.53
Atropine sulfate,170.4,159.28,8164.19,0.82
Avanafil,29.75,27.82,245.63,3.4
Axitinib,125.61,117.5,117.5,117.5
Azathioprine,5.57,5.32,1924.67,0.14
Azelaic acid,10.11,9.47,138.61,4.2
Azelastine hydrochloride,15.14,14.17,431.78,5.6
Azilsartan medoxomil,29.55,27.63,188.44,15.7
Azithromycin,11.5,10.82,458.99,0.21
Baclofen,9.76,9.29,626.16,0.03
Bacterial Decolonisation Products,6.21,5.82,30.4,3.58
Bag Closures,13.49,12.61,74.28,1.23
Bag Covers,32.68,30.6,403.72,7.72
Balsalazide sodium,58.02,54.32,454.96,4.49
Bambuterol hydrochloride,56.05,52.53,231.72,13.63
Baricitinib,1035.72,967.94,1505.68,752.84
Beclometasone dipropionate,190.33,177.97,18229.75,1.86
Beclometasone dipropionate (Systemic),65.55,61.3,211.48,7.16
Beclometdiprop/formoterol/glycopyrronium,628.5,587.51,18262.06,41.59
Belladonna alkaloids,26.3,24.59,166.01,2.36
Belts,56.02,52.43,1112.76,3.49
Bempedoic acid,99.27,92.79,1865.25,7.51
Bempedoic acid/Ezetimibe,110.51,103.3,5906.71,1.96
Bendroflumethiazide,17.39,16.7,471.9,0.05
Benperidol,108.96,101.99,374.44,11.81
Benzalkonium chloride,9.59,8.99,259.61,0.61
Benzatropine mesilate,170.32,159.19,473.54,10.13
Benzbromarone,136.67,127.78,304.34,38.16
Benzocaine,5.48,5.13,111.42,2.55
Benzoin,5.28,5.05,5.05,5.05
Benzoyl peroxide,12.74,11.92,96.83,4.59
Benzoyl peroxide and clindamycin phosphate,37.21,34.8,933.74,12.28
Benzydamine hydrochloride,12.83,12.02,401.33,2.47
Benzyl benzoate,256.83,240.03,240.03,240.03
Benzylpenicillin sodium (Penicillin G),5.86,5.49,32.86,2.81
Betacarotene,30.93,28.96,48.57,9.36
