Prescriber,Substancia,Maior_valor
ABOUT HEALTH,Isotretinoin,3134.69
AIREDALE NHS FOUNDATION TRUST,Wound Management & Other Dressings,1002.21
ALLIANCE FOR BETTER CARE CIC,Flucloxacillin sodium,2.28
ASHFORD & ST PETER'S HOSPITALS NHS FOUND,Trimethoprim,11.89
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUS,Anal Irrigation System,3668.64
BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,Melatonin,17106.22
BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FO,Methylphenidate hydrochloride,158.71
BLACK COUNTRY HEALTHCARE NHS FOUNDATION ,Lorazepam,8.18
BMI HEALTHCARE,Isotretinoin,214.37
BOLTON NHS FOUNDATION TRUST,Lymphoedema Garments,837.76
BRADFORD DISTRICT CARE NHS FOUNDATION TR,Methylphenidate hydrochloride,137.63
BRIDGEWATER COMMUNITY HEALTHCARE NHS FOU,Ustekinumab (Psoriasis),12038.79
BRISDOC HEALTHCARE SERVICES LTD,Nitrofurantoin,506.76
BROMLEY HEALTHCARE,Lymphoedema Garments,583.19
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Lymphoedema Garments,252.11
BURY METROPOLITAN BOROUGH COUNCIL,Buprenorphine hydrochloride,648.88
CENTRA AND NORTH WEST LONDON NHS FOUNDAT,Wound Management & Other Dressings,471.01
CENTRAL LONDON COMMUNITY HEALTHCARE NHS ,Demeclocycline hydrochloride,1336.84
"CHANGE, GROW, LIVE",Buprenorphine hydrochloride,16069.35
CHARING PRACTICE LTD,Lymecycline,4.75
CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDA,Sacubitril/valsartan,684.63
CIRCLE,Apremilast,1028.01
CITY HEALTH CARE PARTNERSHIP CIC,Oxycodone hydrochloride,71.25
COASTAL HEALTH GP PROVIDER ORGANISATION,Catheters,324.49
COMMUNITAS CLINICS,Fluticasone propionate (Nasal),639.39
CONCORDIA COMMUNITY OUTPATIENTS LTD,Isotretinoin,20.47
CONNECT HEALTH LIMITED,Methotrexate,161.61
CONSULTANT EYE SURGEONS PARTNERSHIP (CAN,Brinzolamide,8.91
COUNTESS MOUNTBATTEN HOSPICE,Haloperidol,107.91
COVENTRY AND WARWICKSHIRE PARTNERSHIP NH,Risperidone,1393.67
CRANSTOUN,Methadone hydrochloride,1823.55
CSH SURREY,Enteral nutrition,47.9
"CUMBRIA,NORTHUMBERLAND,TYNE AND WEAR NHS",Buprenorphine hydrochloride,2633.31
DARLINGTON BOROUGH COUNCIL,Buprenorphine hydrochloride,896.09
DELPHI MEDICAL LTD,Buprenorphine hydrochloride,3733.83
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS,Sacubitril/valsartan,4963.58
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRU,Disulfiram,5094.65
